,Episode,Time Step,Average Reward,Episode Reward
734,734,7220,9.4,10.0
735,735,7233,9.29,13.0
736,736,7244,9.38,11.0
737,737,7256,9.29,12.0
738,738,7266,9.47,10.0
739,739,7267,9.33,1.0
740,740,7273,9.36,6.0
741,741,7279,9.35,6.0
742,742,7280,9.4,1.0
743,743,7281,9.51,1.0
744,744,7305,9.29,24.0
745,745,7312,9.26,7.0
746,746,7325,9.49,13.0
747,747,7334,9.39,9.0
748,748,7348,9.33,14.0
749,749,7362,9.41,14.0
750,750,7371,9.38,9.0
751,751,7380,9.24,9.0
752,752,7389,9.25,9.0
753,753,7399,9.32,10.0
754,754,7426,9.38,27.0
755,755,7451,9.25,25.0
756,756,7452,9.34,1.0
757,757,7458,9.37,6.0
758,758,7465,9.23,7.0
759,759,7478,9.35,13.0
760,760,7489,9.36,11.0
761,761,7495,9.22,6.0
762,762,7503,9.46,8.0
763,763,7504,9.39,1.0
764,764,7517,9.37,13.0
765,765,7532,9.41,15.0
766,766,7540,9.37,8.0
767,767,7544,9.38,4.0
768,768,7545,9.28,1.0
769,769,7551,9.37,6.0
770,770,7556,9.31,5.0
771,771,7566,9.27,10.0
772,772,7572,9.47,6.0
773,773,7601,9.34,29.0
774,774,7606,9.38,5.0
775,775,7618,9.28,12.0
776,776,7622,9.41,4.0
777,777,7626,9.37,4.0
778,778,7653,9.37,27.0
779,779,7664,9.31,11.0
780,780,7674,9.4,10.0
781,781,7675,9.32,1.0
782,782,7678,9.45,3.0
783,783,7699,9.48,21.0
784,784,7709,9.42,10.0
785,785,7717,9.38,8.0
786,786,7725,9.4,8.0
787,787,7736,9.39,11.0
788,788,7746,9.41,10.0
789,789,7747,9.37,1.0
790,790,7755,9.43,8.0
791,791,7766,9.26,11.0
792,792,7787,9.13,21.0
793,793,7796,9.43,9.0
794,794,7804,9.17,8.0
795,795,7811,9.37,7.0
796,796,7812,9.43,1.0
797,797,7826,9.41,14.0
798,798,7833,9.32,7.0
799,799,7847,9.37,14.0
800,800,7860,9.4,13.0
801,801,7871,9.45,11.0
802,802,7884,9.42,13.0
803,803,7896,9.5,12.0
804,804,7906,9.32,10.0
805,805,7919,9.19,13.0
806,806,7927,9.37,8.0
807,807,7938,9.32,11.0
808,808,7939,9.33,1.0
809,809,7945,9.27,6.0
810,810,7946,9.49,1.0
811,811,7954,9.39,8.0
812,812,7969,9.21,15.0
813,813,7989,9.38,20.0
814,814,8000,9.36,11.0
815,815,8001,9.52,1.0
816,816,8024,9.33,23.0
817,817,8035,9.43,11.0
818,818,8040,9.6,5.0
819,819,8051,9.76,11.0
820,820,8074,9.3,23.0
821,821,8083,9.32,9.0
822,822,8095,9.37,12.0
823,823,8106,9.38,11.0
824,824,8107,9.21,1.0
825,825,8112,9.43,5.0
826,826,8118,9.46,6.0
827,827,8119,9.38,1.0
828,828,8129,9.4,10.0
829,829,8140,9.37,11.0
830,830,8167,9.3,27.0
831,831,8181,9.33,14.0
832,832,8182,9.26,1.0
833,833,8192,9.32,10.0
834,834,8203,9.31,11.0
835,835,8218,9.38,15.0
836,836,8226,9.26,8.0
837,837,8227,9.33,1.0
838,838,8228,9.3,1.0
839,839,8240,9.35,12.0
840,840,8266,9.28,26.0
841,841,8280,9.25,14.0
842,842,8286,9.34,6.0
843,843,8295,9.4,9.0
844,844,8305,9.37,10.0
845,845,8317,9.3,12.0
846,846,8322,9.45,5.0
847,847,8330,9.21,8.0
848,848,8333,9.32,3.0
