Timestep,Average Reward,Episode Reward
978,243.78,0.0
979,235.7,0.0
980,242.88,0.0
981,255.98,0.0
982,236.65,0.0
983,210.54,0.0
984,194.6,0.0
985,206.98,0.0
986,200.42,0.0
987,166.91,0.0
988,206.15,0.0
989,220.65,0.0
990,269.94,0.0
991,227.9,0.0
992,208.85,0.0
993,270.76,0.0
994,268.17,0.0
995,311.65,0.0
996,322.04,0.0
997,341.98,0.0
998,314.9,0.0
999,353.96,0.0
1000,342.94,0.0
1001,297.68,0.0
1002,328.18,0.0
1003,316.56,0.0
1004,332.86,0.0
1005,312.95,0.0
1006,286.0,0.0
1007,332.36,0.0
1008,280.74,0.0
1009,271.4,0.0
1010,345.11,0.0
1011,296.96,0.0
1012,314.9,0.0
1013,314.25,0.0
1014,301.57,0.0
1015,314.94,0.0
1016,326.39,0.0
1017,301.66,0.0
1018,346.7,0.0
1019,304.65,0.0
1020,355.18,0.0
1021,352.92,0.0
1022,366.96,0.0
1023,346.32,0.0
1024,351.81,0.0
1025,313.46,0.0
1026,341.27,0.0
1027,300.79,0.0
1028,323.55,0.0
1029,273.95,0.0
1030,317.09,0.0
1031,292.05,0.0
1032,291.83,0.0
1033,290.94,0.0
1034,200.53,0.0
1035,236.85,0.0
1036,245.58,0.0
1037,214.79,0.0
1038,220.36,0.0
1039,203.27,0.0
1040,198.65,0.0
1041,179.77,0.0
1042,205.3,0.0
1043,199.33,0.0
1044,253.95,0.0
1045,236.27,0.0
1046,270.78,0.0
1047,295.59,0.0
1048,292.29,0.0
1049,336.47,0.0
1050,357.4,0.0
1051,357.11,0.0
1052,389.48,0.0
1053,343.68,0.0
1054,388.91,0.0
1055,343.94,0.0
1056,347.27,0.0
1057,348.35,0.0
1058,374.35,0.0
1059,350.79,0.0
1060,318.27,0.0
1061,351.54,0.0
1062,348.3,0.0
1063,340.82,0.0
1064,350.86,0.0
1065,364.15,0.0
1066,342.14,0.0
1067,315.73,0.0
1068,355.08,0.0
1069,355.83,0.0
1070,355.66,0.0
1071,363.36,0.0
1072,309.09,0.0
1073,316.72,0.0
1074,308.46,0.0
1075,298.96,0.0
1076,271.58,0.0
1077,295.23,0.0
1078,256.61,0.0
1079,281.37,0.0
1080,240.03,0.0
1081,270.82,0.0
1082,226.24,0.0
1083,237.96,0.0
1084,224.31,0.0
1085,217.27,0.0
1086,237.84,0.0
1087,248.45,0.0
1088,276.09,0.0
1089,241.28,0.0
1090,268.42,0.0
1091,269.43,0.0
1092,281.78,0.0
1093,309.33,0.0
1094,300.81,0.0
1095,306.17,0.0
1096,333.34,0.0
1097,302.65,0.0
1098,358.87,0.0
1099,310.77,0.0
1100,341.5,0.0
1101,296.24,0.0
1102,313.42,0.0
1103,322.54,0.0
1104,291.59,0.0
1105,326.85,0.0
1106,306.66,0.0
1107,289.57,0.0
1108,302.9,0.0
1109,283.87,0.0
1110,284.85,0.0
1111,274.29,0.0
1112,266.09,0.0
1113,255.01,0.0
1114,299.2,0.0
1115,292.94,0.0
1116,283.71,0.0
1117,295.54,0.0
1118,335.7,0.0
1119,345.02,0.0
1120,316.0,0.0
1121,291.84,0.0
1122,323.44,0.0
1123,318.95,0.0
1124,346.88,0.0
1125,357.97,0.0
1126,347.31,0.0
1127,339.86,0.0
1128,355.28,0.0
1129,343.85,0.0
1130,366.17,0.0
1131,368.05,0.0
1132,365.28,0.0
1133,367.39,0.0
1134,370.49,0.0
1135,363.28,0.0
1136,367.65,0.0
1137,380.84,0.0
1138,370.24,0.0
1139,353.24,0.0
1140,362.37,0.0
1141,373.38,0.0
1142,339.59,0.0
1143,318.25,0.0
1144,331.77,0.0
1145,338.92,0.0
1146,347.23,0.0
1147,350.41,0.0
1148,290.14,0.0
1149,329.57,0.0
1150,286.43,0.0
1151,288.58,0.0
1152,263.06,0.0
1153,250.79,0.0
1154,272.22,0.0
1155,212.93,0.0
1156,274.99,0.0
1157,250.24,0.0
1158,253.43,0.0
1159,225.51,0.0
1160,230.89,0.0
1161,246.53,0.0
1162,254.73,0.0
1163,259.6,0.0
1164,296.23,0.0
1165,355.16,0.0
1166,318.33,0.0
1167,361.35,0.0
1168,352.66,0.0
1169,391.03,0.0
1170,392.83,0.0
1171,363.39,0.0
1172,369.08,0.0
1173,360.63,0.0
1174,395.0,0.0
1175,358.37,0.0
1176,369.7,0.0
1177,333.35,0.0
1178,339.46,0.0
1179,357.24,0.0
1180,314.22,0.0
1181,276.39,0.0
1182,304.87,0.0
1183,297.58,0.0
1184,298.22,0.0
1185,327.91,0.0
1186,275.98,0.0
1187,304.34,0.0
1188,309.82,0.0
1189,306.71,0.0
