,Episode,Time Step,Average Reward,Episode Reward
495,495,8971,150.68,111.0
496,496,8979,148.31,8.0
497,497,9003,135.03,24.0
498,498,9012,139.46,9.0
499,499,9020,152.44,8.0
500,500,9040,75.68,20.0
501,501,9082,64.34,42.0
502,502,9083,78.46,1.0
503,503,9150,38.17,67.0
504,504,9165,36.91,15.0
505,505,9179,35.02,14.0
506,506,9194,33.82,15.0
507,507,9195,34.49,1.0
508,508,9209,30.94,14.0
509,509,9219,29.82,10.0
510,510,9253,32.52,34.0
511,511,9274,30.36,21.0
512,512,9294,28.94,20.0
513,513,9311,29.05,17.0
514,514,9353,36.29,42.0
515,515,9415,53.37,62.0
516,516,9480,74.88,65.0
517,517,9550,60.77,70.0
518,518,9579,57.01,29.0
519,519,9630,115.29,51.0
520,520,9659,55.28,29.0
521,521,9683,120.41,24.0
522,522,9727,141.24,44.0
523,523,9772,138.69,45.0
524,524,9773,137.74,1.0
525,525,9774,136.66,1.0
526,526,9807,180.07,33.0
527,527,9825,139.4,18.0
528,528,9846,135.09,21.0
529,529,9987,80.83,141.0
530,530,10023,40.08,36.0
531,531,10060,50.57,37.0
532,532,10061,50.29,1.0
533,533,10102,64.51,41.0
534,534,10244,118.54,142.0
535,535,10256,115.75,12.0
536,536,10301,48.8,45.0
537,537,10314,47.45,13.0
538,538,10320,49.89,6.0
539,539,10344,50.86,24.0
540,540,10530,128.78,186.0
541,541,10566,146.64,36.0
542,542,10608,149.22,42.0
543,543,10662,215.53,54.0
544,544,10721,140.13,59.0
545,545,10777,240.36,56.0
546,546,10778,237.51,1.0
547,547,10796,217.45,18.0
548,548,10812,219.32,16.0
549,549,10823,234.26,11.0
550,550,10890,230.5,67.0
551,551,10891,226.47,1.0
552,552,10929,196.09,38.0
553,553,10969,164.47,40.0
554,554,11003,134.02,34.0
555,555,11114,77.08,111.0
556,556,11120,55.5,6.0
557,557,11227,130.86,107.0
558,558,11360,151.11,133.0
559,559,11482,110.35,122.0
560,560,11483,110.08,1.0
561,561,11579,130.29,96.0
562,562,11580,133.98,1.0
563,563,11602,142.95,22.0
564,564,11742,150.13,140.0
565,565,11759,137.96,17.0
566,566,11805,169.39,46.0
567,567,12034,284.71,229.0
568,568,12035,270.71,1.0
569,569,12055,232.01,20.0
570,570,12056,252.55,1.0
571,571,12076,455.72,20.0
572,572,12205,165.48,129.0
573,573,12236,384.75,31.0
574,574,12245,453.51,9.0
575,575,12411,301.85,166.0
576,576,12436,194.24,25.0
577,577,12534,493.33,98.0
578,578,12592,482.22,58.0
579,579,12600,440.36,8.0
580,580,12601,453.61,1.0
581,581,12731,230.21,130.0
582,582,12903,206.88,172.0
583,583,12904,219.11,1.0
584,584,13026,491.4,122.0
585,585,13141,499.39,115.0
586,586,13269,500.0,128.0
587,587,13311,500.0,42.0
588,588,13332,499.84,21.0
589,589,13616,500.0,284.0
590,590,13617,500.0,1.0
591,591,13797,500.0,180.0
592,592,13798,500.0,1.0
593,593,13799,500.0,1.0
